dataset,model_label,path,people_count,inframe_count,crowd_bin,mean_head_size,head_size_bin,num_target_clusters,shared_target_fraction,target_separation,target_separation_bin,query_cosine_mean,query_cosine_max,distinct_target_cosine_mean,distinct_target_cosine_max,distinct_target_collapse_rate,query_peak_distance_mean
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011121.jpg,4,4,4,0.12435455634498888,medium,2,0.5,0.46189711574417563,far,0.5572496505957943,0.9907146513737606,0.6450922529207818,0.9907146513737606,0.3333333333333333,0.11822457773766841
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011122.jpg,4,4,4,0.12435455634498889,medium,2,0.5,0.46249900596541776,far,0.5622592021194744,0.9889909246797709,0.6374805992760284,0.9889909246797709,0.3333333333333333,0.11822457773766841
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011123.jpg,4,4,4,0.1243545563449889,medium,2,0.5,0.4607700867058865,far,0.5695369697671507,0.9857640042542994,0.630734947067217,0.9857640042542994,0.3333333333333333,0.11048543456039805
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011124.jpg,4,4,4,0.12435455634498892,medium,2,0.5,0.45967681186092146,far,0.5626604172542558,0.9892175851161573,0.6332178754569825,0.9892175851161573,0.3333333333333333,0.11185797705684651
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011125.jpg,4,4,4,0.12435455634498893,medium,2,0.5,0.46126077411385324,far,0.5606991117578238,0.9902470364569813,0.6370144443337654,0.9902470364569813,0.3333333333333333,0.11660879622469704
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011126.jpg,4,4,4,0.12435455634498893,medium,2,0.5,0.4602233757161358,far,0.5568516808214968,0.9928205703591392,0.636177182330616,0.9928205703591392,0.3333333333333333,0.10965366287201718
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011127.jpg,4,4,4,0.12435455634498903,medium,2,0.5,0.45884020793709107,far,0.5679469713230662,0.9897195197125832,0.6206031558922778,0.9897195197125832,0.3333333333333333,0.10965366287201718
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011128.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4597327186751107,far,0.5711373542354273,0.9862069845256171,0.6010312761593315,0.9862069845256171,0.3333333333333333,0.14476605240467114
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011129.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4594762283783847,far,0.572942270349036,0.980132374572147,0.591600694889714,0.980132374572147,0.3333333333333333,0.14620488382935623
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011130.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4571461550869611,far,0.5771338661464929,0.9674990387393239,0.5884626598923491,0.9674990387393239,0.3333333333333333,0.1493635649549435
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011131.jpg,4,4,4,0.124354556344989,medium,2,0.5,0.4573798397276646,far,0.6177177283937832,0.9630738610491486,0.5181031623727003,0.8195179730898804,0.0,0.1493635649549435
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011132.jpg,4,4,4,0.12440333096685342,medium,2,0.5,0.4559532509701091,far,0.5985420907489928,0.9863472665141932,0.4133333914345117,0.6214938763376052,0.0,0.11622505948991547
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011133.jpg,4,4,4,0.12445199539812672,medium,2,0.5,0.4552378246535947,far,0.5465428549807735,0.9319265396066636,0.33700946875776455,0.5411824819871763,0.0,0.2741173418429746
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011134.jpg,4,4,4,0.1245005500682297,medium,2,0.5,0.4554586649850084,far,0.5369742214144367,0.941905122180936,0.2684441773868871,0.4315621190434713,0.0,0.27110589003763264
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011135.jpg,4,4,4,0.12454899540339372,medium,2,0.5,0.45495890962224145,far,0.5345388574976307,0.9636781628869707,0.23173125771086403,0.362675642444053,0.0,0.23711083420913634
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011136.jpg,4,4,4,0.12459733182669383,medium,2,0.5,0.45317277194843175,far,0.5340959144381179,0.9927078705923377,0.1404122646355628,0.17842059411921946,0.0,0.23711083420913634
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011137.jpg,4,4,4,0.12464555975808123,medium,2,0.5,0.4533818188619588,far,0.5280663616358628,0.9951542554455262,0.10516670884575059,0.13198012265672493,0.0,0.23711083420913634
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011138.jpg,4,4,4,0.12469367961441558,medium,2,0.5,0.4552921519850149,far,0.5166985587555287,0.9924073480486095,0.07557874145537474,0.09331315864403592,0.0,0.23711083420913634
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011139.jpg,4,4,4,0.12474169180949647,medium,2,0.5,0.45319572862805796,far,0.5212222563484835,0.9957696225565584,0.06747417451445549,0.08308511868347314,0.0,0.23711083420913634
vat,baseline_v0_448_exploratory,images/CBS This Morning/11118_11359/00011140.jpg,4,4,4,0.12478959675409514,medium,2,0.5,0.4557062200278275,far,0.5232337274401818,0.9964059829228121,0.06705435285323033,0.07630419748609593,0.0,0.23711083420913634
