candidate_association_margin,candidate_auc,candidate_avg_l2,candidate_l2,candidate_min_l2,candidate_target_confusion,crowd_bin,dataset,head_size_bin,improvement_association_margin,improvement_auc,improvement_avg_l2,improvement_l2,improvement_min_l2,improvement_target_confusion,inout,path,people_count,person_index,reference_association_margin,reference_auc,reference_avg_l2,reference_l2,reference_min_l2,reference_target_confusion,sequence_id,target_distance_bin,target_separation_bin,target_x,target_y
0.4569112201701303,0.9644591292223371,,0.011255005983088389,,0.0,4,vat,large,0.0,0.0017673649352720755,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,0,0.4569112201701303,0.962691764287065,,0.011255005983088389,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
-0.031059676392074242,0.9108967726863131,,0.24739973193809267,,1.0,4,vat,medium,0.0028930079836058387,0.000422001950553863,,0.0005804502656832078,,-0.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,1,-0.03395268437568008,0.9104747707357592,,0.24798018220377588,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3151041666666667,0.18611111111111112
0.4569112201701303,0.9640274857509448,,0.009631549176558613,,0.0,4,vat,small,0.0,-0.00042793519414685566,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,2,0.4569112201701303,0.9644554209450916,,0.009631549176558613,,0.0,images/CBS This Morning/11118_11359,near,far,0.7760416666666666,0.22685185185185186
0.4569112201701303,0.9528685378633648,,0.010422452097085871,,0.0,4,vat,medium,0.0,0.00020692187030668663,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011121.jpg,4,3,0.4569112201701303,0.9526616159930581,,0.010422452097085871,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7760416666666666,0.22777777777777777
0.45770243533233196,0.9556193379241806,,0.011255005983088389,,0.0,4,vat,large,0.0,-0.0005859078048110478,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,0,0.45770243533233196,0.9562052457289917,,0.011255005983088389,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
-0.03262021369467735,0.8977338717751894,,0.2484482839020565,,1.0,4,vat,medium,0.002954199135749569,-9.048196479366499e-05,,0.00063609610166801,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,1,-0.03557441283042692,0.897824353739983,,0.24908438000372451,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3140625,0.18518518518518517
0.45770243533233196,0.9639904029784881,,0.01055860726881782,,0.0,4,vat,small,0.0,-0.00028257072611781453,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,2,0.45770243533233196,0.964272973704606,,0.01055860726881782,,0.0,images/CBS This Morning/11118_11359,near,far,0.7744791666666667,0.22685185185185186
0.45770243533233196,0.9518502449317122,,0.010422452097085871,,0.0,4,vat,medium,0.0,-3.1891184312349274e-05,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011122.jpg,4,3,0.45770243533233196,0.9518821361160246,,0.010422452097085871,,0.0,images/CBS This Morning/11118_11359,medium,far,0.7760416666666666,0.22777777777777777
0.4562214340173535,0.9473639711199369,,0.011255005983088389,,0.0,4,vat,large,0.0,-0.00029221224695630266,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,0,0.4562214340173535,0.9476561833668932,,0.011255005983088389,,0.0,images/CBS This Morning/11118_11359,far,far,0.7734375,0.22685185185185186
-0.03522547855773639,0.8868419198492957,,0.2480454299242062,,1.0,4,vat,medium,0.0,-0.00021656339114528578,,-0.0,,-0.0,1,images/CBS This Morning/11118_11359/00011123.jpg,4,1,-0.03522547855773639,0.887058483240441,,0.2480454299242062,,1.0,images/CBS This Morning/11118_11359,medium,far,0.3151041666666667,0.18518518518518517
