dataset,model_label,path,people_count,inframe_count,crowd_bin,mean_head_size,head_size_bin,num_target_clusters,shared_target_fraction,target_separation,target_separation_bin,query_cosine_mean,query_cosine_max,distinct_target_cosine_mean,distinct_target_cosine_max,distinct_target_collapse_rate,query_peak_distance_mean
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011121.jpg,4,4,4,0.12435455634498888,medium,2,0.5,0.46189711574417563,far,0.5399786120108737,0.9802197400109205,0.2614317236066818,0.6649123468942686,0.0,0.11048543456039805
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011122.jpg,4,4,4,0.12435455634498889,medium,2,0.5,0.46249900596541776,far,0.5455237531128926,0.9785033424454653,0.261737129154495,0.6597853220016202,0.0,0.11048543456039805
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011123.jpg,4,4,4,0.1243545563449889,medium,2,0.5,0.4607700867058865,far,0.5446087616147129,0.9771570405105653,0.26187289465312724,0.6604269226989906,0.0,0.11048543456039805
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011124.jpg,4,4,4,0.12435455634498892,medium,2,0.5,0.45967681186092146,far,0.5448999677611835,0.9789018897501173,0.25876038330235096,0.6505312859165427,0.0,0.10965366287201718
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011125.jpg,4,4,4,0.12435455634498893,medium,2,0.5,0.46126077411385324,far,0.5478529114065954,0.9838804465263244,0.24839961881372374,0.612800480531583,0.0,0.11432230421870465
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011126.jpg,4,4,4,0.12435455634498893,medium,2,0.5,0.4602233757161358,far,0.5484646619141789,0.9863496034116562,0.24620536186096262,0.5881842481425389,0.0,0.10652405402488746
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011127.jpg,4,4,4,0.12435455634498903,medium,2,0.5,0.45884020793709107,far,0.5486288114955883,0.9889258731518181,0.18364263039298645,0.4341984633494872,0.0,0.11210253221168681
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011128.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4597327186751107,far,0.5473252609574792,0.9889726282054694,0.14826221528280845,0.3444509923362446,0.0,0.10186253758129139
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011129.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4594762283783847,far,0.5476981897319911,0.9871068167771359,0.14517742376309276,0.331335981828479,0.0,0.10447501093646587
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011130.jpg,4,4,4,0.12435455634498899,medium,2,0.5,0.4571461550869611,far,0.5469770588078465,0.9863240562320459,0.13970722327545096,0.31116926958361746,0.0,0.10447501093646587
vat,p05_fixed_mean,images/CBS This Morning/11118_11359/00011131.jpg,4,4,4,0.124354556344989,medium,2,0.5,0.4573798397276646,far,0.5396429904899294,0.9859787601207257,0.11810555721020832,0.25896603768418547,0.0,0.10877887987328316
