association_margin,association_margin_count,auc,auc_count,avg_l2,avg_l2_count,bin,count,dimension,distinct_target_collapse_rate,distinct_target_collapse_rate_count,distinct_target_cosine_max,distinct_target_cosine_max_count,distinct_target_cosine_mean,distinct_target_cosine_mean_count,inout_ap,inout_ap_count,l2,l2_count,min_l2,min_l2_count,query_cosine_max,query_cosine_max_count,query_cosine_mean,query_cosine_mean_count,query_peak_distance_mean,query_peak_distance_mean_count,target_confusion,target_confusion_count,unit
0.3626702181637442,80,0.9551597618544353,80,,0,all,80,overall,,,,,,,,80,0.05194859674777955,80,,0,,,,,,,0.1625,80,person
0.3626702181637442,80,0.9551597618544353,80,,0,4,80,crowd,,,,,,,,80,0.05194859674777955,80,,0,,,,,,,0.1625,80,person
0.44519373407215507,20,0.9594472998179235,20,,0,large,20,head_size,,,,,,,,20,0.012357330003015355,20,,0,,,,,,,0.0,20,person
0.28744955744297684,40,0.9408240904522985,40,,0,medium,40,head_size,,,,,,,,40,0.08871795020299046,40,,0,,,,,,,0.325,40,person
0.43058802369686777,20,0.9795435666952205,20,,0,small,20,head_size,,,,,,,,20,0.01800115658212191,20,,0,,,,,,,0.0,20,person
0.44519373407215507,20,0.9594472998179235,20,,0,far,20,target_distance,,,,,,,,20,0.012357330003015355,20,,0,,,,,,,0.0,20,person
0.28744955744297684,40,0.9408240904522985,40,,0,medium,40,target_distance,,,,,,,,40,0.08871795020299046,40,,0,,,,,,,0.325,40,person
0.43058802369686777,20,0.9795435666952205,20,,0,near,20,target_distance,,,,,,,,20,0.01800115658212191,20,,0,,,,,,,0.0,20,person
0.3626702181637442,80,0.9551597618544353,80,,0,1,80,inout,,,,,,,,80,0.05194859674777955,80,,0,,,,,,,0.1625,80,person
0.3626702181637442,80,0.9551597618544353,80,,0,far,80,target_separation,,,,,,,,80,0.05194859674777955,80,,0,,,,,,,0.1625,80,person
,,,,,,all,20,overall,0.0,20,0.3295992268725563,20,0.14229574593126343,20,,,,,,,0.9856052517751956,20,0.5334615608269108,20,0.15072741234335907,20,,,frame
,,,,,,4,20,crowd,0.0,20,0.3295992268725563,20,0.14229574593126343,20,,,,,,,0.9856052517751956,20,0.5334615608269108,20,0.15072741234335907,20,,,frame
,,,,,,medium,20,head_size,0.0,20,0.3295992268725563,20,0.14229574593126343,20,,,,,,,0.9856052517751956,20,0.5334615608269108,20,0.15072741234335907,20,,,frame
,,,,,,far,20,target_separation,0.0,20,0.3295992268725563,20,0.14229574593126343,20,,,,,,,0.9856052517751956,20,0.5334615608269108,20,0.15072741234335907,20,,,frame
